Black Bullhead,Brook Stickleback,Common Carp,Fathead Minnow,Green Sunfish,Iowa Darter,Yellow Perch
0,0,0.043159258,0.776866638,0,0.258955546,0
0,0,0.043159258,0.258955546,0,0,0
0,0.125680771,0.209467951,0.125680771,0,0.083787181,0
0,0.04189359,0.167574361,0,0,0,0
0,0,0.086318515,0.086318515,0,0.043159258,0
0,0,0.137488543,0,0,0,0
0,0.045829514,0.274977085,0.045829514,0,0.183318057,0
0,0,0.091617041,0.137425561,0,0.04580852,0
0,0,0,0.045829514,0,0,0
0,0.183234082,0.229042602,0.595510765,0,0.137425561,0
0,0,0.229147571,0.091659028,0,0,0
0,0.04580852,0.04580852,0.412276683,0,0.04580852,0
0,0.091659028,0.229147571,0.54995417,0,0,0
0,0.04580852,0,0.04580852,0,0.04580852,0
0.041666667,0,0,0,0,0,0
0,0.958333333,0,1.875,0.041666667,0.666666667,0
0,0.791666667,0,1.041666667,0,1.916666667,0
0,0.666666667,0,0.5,0,0,0
0,0.125,0,0,0,0,0
0,0.045454545,0,0.136363636,0.045454545,0,0
0,0.045454545,0,0.772727273,0,0.045454545,0
0.88801184,0,0,0,0,0,0
0.049333991,0,0,0,0,0,0
0.049333991,3.354711396,0,0.246669956,0.098667982,0.296003947,0
0.049333991,7.745436606,0,0.542673902,0,0.049333991,0
0,0.789343858,0,0,0,0,0
0,0.246669956,0,0,0,0,0
0,0,0,0.066666667,0,0,0
0,0,0,0.133333333,0,0,0
